product,img_url,price,url_of_item,description
"HDD External 2.5"" 500GB Silicon Power A60 SP500...",http://static.emmi.rs/images/products/200/m4713738.jpg,6.499,http://emmi.rs/hdd-eksterni-hdd-external-25-500gb-silicon-power-a60-sp500.11.html?productId=43736,"Gumirano kućište, kao i unutrašnji sistem internih suspenzija stvara savršenu otpornost i zaštitu protiv pritiska, prašine i prskanja vode. Dizajn modela A60 se oslikava u jednostavnom nošenju kabla zajedno sa uređajem. Kompatibilan sa USB2.0 ."
MB AM3+ 970 Gigabyte GA-970A-UD3P,http://static.emmi.rs/images/products/200/m1184297.jpg,9.150,http://emmi.rs/mati%C4%8Dne-plo%C4%8De-(mb)-mb-am3+-970-gigabyte-ga-970a-ud3p.11.html?productId=39056,
MB AM3+ 970 Gigabyte GA-970A-DS3P,http://static.emmi.rs/images/products/200/m1179238.jpg,7.480,http://emmi.rs/mati%C4%8Dne-plo%C4%8De-(mb)-mb-am3+-970-gigabyte-ga-970a-ds3p.11.html?productId=36922,
MB AM3+ 970 Asus M5A97 R2.0,http://static.emmi.rs/images/products/200/m1155200.jpg,8.740,http://emmi.rs/mati%C4%8Dne-plo%C4%8De-(mb)-mb-am3+-970-asus-m5a97-r20.11.html?productId=26352,Idealna ploca za Vas novi FX procesor.
Lan Switch TP-Link TL-SF1008D,http://static.emmi.rs/images/products/200/m1002573.jpg,1.122,http://emmi.rs/lan-switch-lan-switch-tp-link-tl-sf1008d.11.html?productId=5560,Pouzdan Hub/Switch za malu kućnu ili poslovnu mrežu. Do 8 računara ili 7 + router.
HDD SATA3 7200 3TB Seagate Barracuda ST3000DM001,http://static.emmi.rs/images/products/200/m1146093.jpg,11.899,http://emmi.rs/hard-diskovi-(hdd)-i-fioke-hdd-sata3-7200-3tb-seagate-barracuda-st3000dm001.11.html?productId=21965,"Seagate ® Desktop Hard disk je jedan hard disk za sve vaše aplikacije . Jedan disk za sve potrebe ,performanse, pouzdanost i jednostavnost ."
HDD SATA3 7200 500GB Toshiba DT01ACA050,http://static.emmi.rs/images/products/200/m1153304.jpg,4.989,http://emmi.rs/hard-diskovi-(hdd)-i-fioke-hdd-sata3-7200-500gb-toshiba-dt01aca050.11.html?productId=25811,"Toshiba HDD serija je optimizovan za upotrebu u kućnim i poslovnim desktop računarima, kao i u računarima za igranje."
HDD SATA3 7200 500GB WD Blue WD5000AAKX,http://static.emmi.rs/images/products/200/m1133709.jpg,5.499,http://emmi.rs/hard-diskovi-(hdd)-i-fioke-hdd-sata3-7200-500gb-wd-blue-wd5000aakx.11.html?productId=14137,"Odlične performanse, niske radne temperature i tihi rad. Ova serija diskova predstavlja idealno rešenje za kućne i poslovne računare."
HDD SATA3 7200 500GB Seagate Barracuda® ST500DM0...,http://static.emmi.rs/images/products/200/m1139462.jpg,5.299,http://emmi.rs/hard-diskovi-(hdd)-i-fioke-hdd-sata3-7200-500gb-seagate-barracuda%C2%AE-st500dm0.11.html?productId=17363,"Seagate ® Desktop Hard disk je jedan hard disk za sve vaše aplikacije . Jedan disk za sve potrebe ,performanse, pouzdanost i jednostavnost ."
HDD SATA3 7200 2TB Seagate Barracuda ST2000DM001,http://static.emmi.rs/images/products/200/m1146092.jpg,9.099,http://emmi.rs/hard-diskovi-(hdd)-i-fioke-hdd-sata3-7200-2tb-seagate-barracuda-st2000dm001.11.html?productId=21964,"Seagate ® Desktop Hard disk je jedan hard disk za sve vaše aplikacije . Jedan disk za sve potrebe ,performanse, pouzdanost i jednostavnost ."
HDD SATA3 7200 1TB Toshiba DT01ACA100,http://static.emmi.rs/images/products/200/m1154403.jpg,5.929,http://emmi.rs/hard-diskovi-(hdd)-i-fioke-hdd-sata3-7200-1tb-toshiba-dt01aca100.11.html?productId=26085,Toshiba hard diskovi velikog kapaciteta pogodni su za poslovnu i kućnu primenu.
HDD SATA3 7200 1TB WD Black WD1003FZEX,http://static.emmi.rs/images/products/200/m1183808.jpg,8.999,http://emmi.rs/hard-diskovi-(hdd)-i-fioke-hdd-sata3-7200-1tb-wd-black-wd1003fzex.11.html?productId=38593,
HDD SATA3 7200 1TB WD Blue WD10EZEX,http://static.emmi.rs/images/products/200/m1162692.jpg,6.239,http://emmi.rs/hard-diskovi-(hdd)-i-fioke-hdd-sata3-7200-1tb-wd-blue-wd10ezex.11.html?productId=29674,"Odlične performanse, niske radne temperature i tihi rad. Ova serija diskova predstavlja idealno rešenje za kućne i poslovne računare."
HDD SATA3 7200 1TB Seagate Barracuda ST1000DM003,http://static.emmi.rs/images/products/200/m1144834.jpg,6.189,http://emmi.rs/hard-diskovi-(hdd)-i-fioke-hdd-sata3-7200-1tb-seagate-barracuda-st1000dm003.11.html?productId=21083,"Seagate ® Desktop Hard disk je jedan hard disk za sve vaše  potrebe ,performanse, pouzdanost i jednostavnost ."
AV Risiver Pioneer SC-1223-S,http://static.emmi.rs/images/products/200/m4744860.jpg,91.890,http://emmi.rs/multimedija-av-risiver-pioneer-sc-1223-s.11.html?productId=44786,
"HDD External 2.5"" Touro Mobile 500GB Hitachi",http://static.emmi.rs/images/products/200/m4745342.jpg,5.899,http://emmi.rs/hdd-eksterni-hdd-external-25-touro-mobile-500gb-hitachi.11.html?productId=45092,Čvrsto kućište i elegantan dizajn su glavne odlike modela Hitachi Touro Mobile 0S03797. Više se ne morate odricati kvaliteta i sigurnosti ukoliko se odlučite da kupite jeftinije rešenje za čuvanje vaših vrednih podataka.
AV Risiver Pioneer SC-LX57-K,http://static.emmi.rs/images/products/200/m1184060.jpg,169.990,http://emmi.rs/multimedija-av-risiver-pioneer-sc-lx57-k.11.html?productId=38720,
AV Risiver Onkyo TX-SR333 (B),http://static.emmi.rs/images/products/200/m4744805.jpg,35.990,http://emmi.rs/multimedija-av-risiver-onkyo-tx-sr333-(b).11.html?productId=44757,"Onkyo TX-SR333 ima sve što Vam je potrebno od jednog AV prijemnika. Ono što je najvažnije, Onkyo TX-SR333 omogućava izuzetno dobar zvuk u svome rangu za razliku od sličnih modela. Takođe je veoma jednostavan za korišćenje. Poseduje 6 HDMI ulaza za vaše medija plejere i igračke konzole, omogućavajući prikaz 4K video formata, a pritom podržava veliki broj audio i video formata."
AV Risiver Pioneer SC-2023-S,http://static.emmi.rs/images/products/200/m4744863.jpg,118.790,http://emmi.rs/multimedija-av-risiver-pioneer-sc-2023-s.11.html?productId=44787,"7.2-kanalni AV risiver 8x HDMI, AirPlay, DLNA, Jitter Reduction and Ultra HD 4K Upscaling/Pass Through"
AV Risiver Pioneer VSX-1123-K,http://static.emmi.rs/images/products/200/m4744865.jpg,77.990,http://emmi.rs/multimedija-av-risiver-pioneer-vsx-1123-k.11.html?productId=44788,"7.2-kanalni AV risiver 8x HDMI, AirPlay, DLNA, HDMI Zone Out, MHL, ARC, and Ultra HD 4K Upscaling/Pass Through"
"HDD SATA2 5400 1TB Seagate Barracuda®  2.5"" ST10...",http://static.emmi.rs/images/products/200/m1178781.jpg,6.149,http://emmi.rs/hdd-hdd-sata2-5400-1tb-seagate-barracuda%C2%AE--25-st10.11.html?productId=36757,
AV Risiver Mrežni sa Pojačalom Pioneer SC-LX77-K,http://static.emmi.rs/images/products/200/m4745118.jpg,214.990,http://emmi.rs/multimedija-av-risiver-mre%C5%BEni-sa-poja%C4%8Dalom-pioneer-sc-lx77-k.11.html?productId=44902,
AV Risiver Mrežni sa Pojačalom Marantz SR5008/N1SG,http://static.emmi.rs/images/products/200/m4750057.jpg,69.990,http://emmi.rs/multimedija-av-risiver-mre%C5%BEni-sa-poja%C4%8Dalom-marantz-sr5008-n1sg.11.html?productId=46748,
AV Risiver Onkyo HT-S3505 (B) + 5.1 Zvučnici,http://static.emmi.rs/images/products/200/m4744802.jpg,46.990,http://emmi.rs/multimedija-av-risiver-onkyo-ht-s3505-(b)-+-51-zvu%C4%8Dnici.11.html?productId=44752,Onkyo surround risiver sa zvučnicima HT-S3505 (B)
AV Risiver Mrežni sa Pojačalom Pioneer SC-LX87-S,http://static.emmi.rs/images/products/200/m4745120.jpg,279.990,http://emmi.rs/multimedija-av-risiver-mre%C5%BEni-sa-poja%C4%8Dalom-pioneer-sc-lx87-s.11.html?productId=44904,
AV Risiver Marantz NR1504/N1B,http://static.emmi.rs/images/products/200/m4744535.jpg,46.990,http://emmi.rs/multimedija-av-risiver-marantz-nr1504-n1b.11.html?productId=44645,
AV Risiver Mrežni Marantz MCR510/N1B,http://static.emmi.rs/images/products/200/m4744796.jpg,48.990,http://emmi.rs/multimedija-av-risiver-mre%C5%BEni-marantz-mcr510-n1b.11.html?productId=44747,
AV Risiver Marantz NR1604/N1B,http://static.emmi.rs/images/products/200/m4744791.jpg,69.990,http://emmi.rs/multimedija-av-risiver-marantz-nr1604-n1b.11.html?productId=44743,
AV Risiver Mrežni Marantz MCR510/N1W,http://static.emmi.rs/images/products/200/m4744795.jpg,48.990,http://emmi.rs/multimedija-av-risiver-mre%C5%BEni-marantz-mcr510-n1w.11.html?productId=44746,
AV Risiver Marantz NR1504/N1SG,http://static.emmi.rs/images/products/200/m4744789.jpg,46.990,http://emmi.rs/multimedija-av-risiver-marantz-nr1504-n1sg.11.html?productId=44741,
AV Risiver Mrežni Onkyo TX-NR535 (S),http://static.emmi.rs/images/products/200/m4744806.jpg,45.590,http://emmi.rs/multimedija-av-risiver-mre%C5%BEni-onkyo-tx-nr535-(s).11.html?productId=44758,"Zamislite da igrate najnovije igre ili gledate film na vašem Ultra HDTV sa 60 fps po sekundi. Sada možete dodati neverovatno dobar 5.2 kanalni surround zvuk iz Onkyo linije  AV Risiver-a. Onkyo je japanski proizvodjač potrošačke elektronike, specijalizovan za kućne bio-skope i Hi Fi audio opremu."
AV Risiver Mrežni sa Pojačalom Pioneer SC-LX77-S,http://static.emmi.rs/images/products/200/m4745119.jpg,214.990,http://emmi.rs/multimedija-av-risiver-mre%C5%BEni-sa-poja%C4%8Dalom-pioneer-sc-lx77-s.11.html?productId=44903,
AV receiver Pioneer SC-2022-K,http://static.emmi.rs/images/products/200/m1160447.jpg,114.990,http://emmi.rs/multimedija-av-receiver-pioneer-sc-2022-k.11.html?productId=27998,
AV Kabl SCART (muški) na SCART (muški) - 4.0m,http://static.emmi.rs/images/products/200/m4743633.jpg,639,http://emmi.rs/kablovi-av-kabl-scart-(mu%C5%A1ki)-na-scart-(mu%C5%A1ki)---40m.11.html?productId=44239,AV Kabl SCART (muški) na SCART (muški)
AV receiver Pioneer VSX-922-K,http://static.emmi.rs/images/products/200/m1160459.jpg,62.990,http://emmi.rs/multimedija-av-receiver-pioneer-vsx-922-k.11.html?productId=28007,
AV Kabl S-Video (muški) na S-Video (muški) - 2.0m,http://static.emmi.rs/images/products/200/m4713963.jpg,249,http://emmi.rs/kablovi-av-kabl-s-video-(mu%C5%A1ki)-na-s-video-(mu%C5%A1ki)---20m.11.html?productId=43816,
